Year,Category,Count
1851,HU,2
1851,TS,1
1852,HU,3
1854,HU,3
1855,HU,1
1856,HU,2
1856,TS,1
1857,HU,1
1857,TS,1
1858,HU,1
1859,HU,2
1859,TS,1
1860,HU,3
1861,HU,1
1861,TS,2
1863,TS,2
1865,HU,2
1865,TS,2
1866,HU,1
1867,HU,2
1868,TS,1
1869,HU,4
1870,HU,1
1871,HU,2
1871,TS,3
1872,TS,2
1873,HU,2
1873,TS,2
1874,HU,1
1874,TS,1
1875,HU,1
1875,TS,1
1876,HU,2
1877,HU,2
1877,TS,1
1878,HU,2
1878,TS,2
1879,HU,3
1879,TS,3
1880,HU,4
1880,TS,1
1881,HU,2
1881,TS,2
1882,HU,2
1882,TS,2
1883,HU,1
1884,TS,1
1885,HU,1
1885,TS,4
1886,HU,6
1887,HU,2
1887,TS,2
1888,HU,3
1888,TS,3
1889,TS,3
1890,TS,1
1891,HU,2
1891,TS,1
1892,TS,3
1893,HU,5
1893,TS,2
1894,HU,1
1894,TS,2
1895,TS,3
1896,HU,3
1896,TS,1
1897,HU,1
1897,TS,3
1898,HU,3
1898,TS,2
1899,HU,3
1899,TS,2
1900,HU,1
1900,TS,2
1901,HU,1
1901,TS,5
1902,TS,3
1903,HU,2
1904,HU,1
1904,TS,2
1905,TS,2
1906,HU,3
1906,TS,2
1907,TS,3
1908,HU,1
1908,TS,3
1909,HU,4
1909,TS,2
1910,HU,2
1911,HU,2
1912,HU,2
1912,TS,2
1913,HU,3
1914,TS,1
1915,HU,4
1916,HU,4
1916,TS,5
1917,HU,1
1918,HU,2
1919,HU,1
1919,TS,2
1920,HU,1
1920,TS,2
1921,HU,2
1923,HU,1
1923,TS,3
1924,HU,2
1924,TS,1
1925,TS,1
1926,HU,3
1927,TS,1
1928,HU,1
1928,TS,2
1929,HU,2
1930,TS,1
1931,TS,2
1932,HU,2
1932,TS,2
1933,HU,3
1933,TS,2
1934,HU,2
1934,TS,3
1935,HU,2
1936,HU,2
1936,TS,3
1937,TS,4
1938,HU,2
1938,TS,1
1939,HU,1
1939,TS,2
1940,HU,2
1940,TS,1
1941,HU,2
1941,TS,1
1942,HU,2
1943,HU,1
1943,TS,1
1944,HU,3
1944,TS,1
1945,HU,2
1945,TS,2
1946,HU,1
1946,TS,4
1947,HU,4
1947,TS,4
1948,HU,3
1948,TS,2
1949,HU,2
1949,TS,6
1950,HU,5
1950,TS,1
1951,HU,2
1951,TS,2
1952,HU,2
1952,TS,1
1953,HU,4
1953,TS,3
1954,HU,5
1954,TS,3
1955,HU,6
1955,TS,3
1956,HU,2
1956,TS,3
1957,HU,1
1957,TS,4
1958,HU,1
1958,TS,3
1959,HU,2
1959,TS,6
1960,HU,3
1960,TS,3
1961,HU,3
1961,TS,4
1962,TS,1
1963,HU,3
1963,TS,4
1964,HU,2
1964,TS,5
1965,HU,1
1965,TS,3
1969,HU,1
1983,HU,2
1984,HU,1
1985,HU,6
1985,TD,1
1985,TS,1
1986,HU,2
1987,HU,2
1987,TS,1
1988,HU,4
1988,TS,2
1989,HU,3
1989,TS,2
1990,HU,1
1991,TS,4
1992,HU,1
1992,TS,1
1993,HU,1
1993,TD,1
1993,TS,2
1994,TD,4
1994,TS,3
1995,HU,4
1995,TD,1
1995,TS,6
1996,HU,6
1996,TD,1
1996,TS,2
1997,HU,1
1998,HU,3
1998,TS,4
1999,HU,3
1999,TD,2
1999,TS,5
2000,HU,2
2000,TD,1
2000,TS,2
2001,HU,2
2001,TD,1
2001,TS,5
2002,HU,2
2002,TD,2
2002,TS,5
2003,HU,4
2003,TD,2
2003,TS,4
2004,HU,3
2004,TD,1
2004,TS,4
2005,HU,7
2005,TD,2
2005,TS,7
2006,TS,3
2007,HU,4
2007,TD,3
2007,TS,3
2008,HU,5
2008,TD,1
2008,TS,5
2009,HU,1
2009,TS,3
2010,HU,4
2010,TD,1
2010,TS,6
2011,TD,1
2011,TS,6
2012,HU,3
2012,TD,1
2012,TS,3
2013,HU,1
2013,TD,1
2013,TS,4
2014,HU,3
2014,TS,3
2015,HU,1
2015,TS,2
2016,HU,3
2016,TD,2
2016,TS,4
2017,HU,5
2017,TS,5
2018,HU,2
2018,TS,3
2019,HU,2
2019,TS,3
2020,HU,9
2020,TD,2
2020,TS,5
